title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Only Fools and Horses,9.0,Comedy,1981–2003,95,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,"John Sullivan,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",TV-PG
Hunter x Hunter,9.0,"Animation,Action,Adventure",2011–2014,24,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Yoshihiro Togashi,Issei Futamata,Megumi Han,Cristina Valenzuela",TV-14
Death Note,9.0,"Animation,Crime,Drama",2006–2007,24,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano,Brad Swaile,Vincent Tong",TV-14
Frozen Planet,9.0,Documentary,2011–2012,333,Focuses on life and the environment in both the Arctic and Antarctic.,"David Attenborough,Alec Baldwin,Chadden Hunter",TV-PG
Human Planet,9.0,Documentary,2011,50,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,"John Hurt,Roger Munns",TV-PG
Firefly,9.0,"Adventure,Drama,Sci-Fi",2002–2003,44,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Joss Whedon,Nathan Fillion,Gina Torres,Alan Tudyk",TV-14
The Office,9.0,Comedy,2005–2013,22,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Greg Daniels,Ricky Gervais,Stephen Merchant,Steve Carell,Jenna Fischer,John Krasinski",TV-14
Attack on Titan,9.0,"Animation,Action,Adventure",2013–2023,24,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle,Bryce Papenbrook,Yûki Kaji",TV-MA
The Blue Planet,9.0,Documentary,2001,389,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","David Attenborough,Pierce Brosnan,Peter Scoones",TV-G
Arcane,9.0,"Animation,Action,Adventure",2021– ,41,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Hailee Steinfeld,Kevin Alejandro,Jason Spisak",TV-14
Scam 1992: The Harshad Mehta Story,9.3,"Biography,Crime,Drama",2020,54,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher",TV-14
Batman: The Animated Series,9.0,"Animation,Action,Adventure",1992–1995,23,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Bob Kane,Eric Radomski,Bruce Timm,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.",TV-PG
Bluey,9.6,"Animation,Family",2018– ,7,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,"Joe Brumm,David McCormack,Melanie Zanetti,Ninthe van Schie",TV-Y
The Vietnam War,9.1,"Documentary,History,War",2017,990,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Peter Coyote,Huy Duc,James Willbanks",TV-MA
The Twilight Zone,9.1,"Drama,Fantasy,Horror",1959–1964,51,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Rod Serling,Rod Serling,Robert McCord,Jay Overholts",TV-PG
Sherlock,9.1,"Crime,Drama,Mystery",2010–2017,88,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"Mark Gatiss,Steven Moffat,Benedict Cumberbatch,Martin Freeman,Una Stubbs",TV-14
Life,9.1,Documentary,2009,473,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,"Oprah Winfrey,David Attenborough,Doug Allan",TV-G
The Last Dance,9.1,"Documentary,Biography,History",2020,491,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Michael Jordan,Phil Jackson,Scottie Pippen",TV-MA
